"Monat";"Originalwerte";"Trend-Konjunktur-Komponente (Berliner Verfahren)"
"2010-01";12,226;14,271
"2010-02";12,738;14,448
"2010-03";14,513;14,589
"2010-04";13,354;14,813
"2010-05";15,115;15,058
"2010-06";16,984;15,338
"2010-07";18,787;15,597
"2010-08";17,946;15,924
"2010-09";16,206;16,267
"2010-10";16,936;16,607
"2010-11";16,617;16,902
"2010-12";16,245;17,198
"2011-01";14,884;17,537
"2011-02";15,712;17,865
"2011-03";20,076;18,146
"2011-04";17,219;18,344
"2011-05";21,788;18,455
"2011-06";18,917;18,556
"2011-07";19,267;18,661
"2011-08";20,279;18,792
"2011-09";19,559;18,924
"2011-10";18,848;19,057
"2011-11";18,186;19,198
"2011-12";23,66;19,323
"2012-01";13,91;19,425
"2012-02";15,427;19,54
"2012-03";19,697;19,705
"2012-04";18,104;19,884
"2012-05";23,058;20,076
"2012-06";23,767;20,178
"2012-07";22,03;20,262
"2012-08";21,644;20,345
"2012-09";20,46;20,475
"2012-10";22,165;20,648
"2012-11";18,388;20,848
"2012-12";20,815;21,06
"2013-01";17,655;21,319
"2013-02";18,049;21,572
"2013-03";19,708;21,798
"2013-04";23,998;22,048
"2013-05";22,697;22,309
"2013-06";22,769;22,569
"2013-07";28,632;22,85
"2013-08";24,313;23,091
"2013-09";24,302;23,219
"2013-10";23,912;23,346
"2013-11";20,728;23,449
"2013-12";23,601;23,543
"2014-01";20,873;23,595
"2014-02";19,866;23,621
"2014-03";23,155;23,64
"2014-04";23,769;23,662
"2014-05";25,495;23,665
"2014-06";23,685;23,682
"2014-07";27,316;23,684
"2014-08";24,863;23,704
"2014-09";23,529;23,763
"2014-10";26,629;23,79
"2014-11";20,669;23,797
"2014-12";25,002;23,796
"2015-01";19,546;23,855
"2015-02";21,202;23,975
"2015-03";24,18;24,169
"2015-04";24,292;24,437
"2015-05";24,414;24,79
"2015-06";26,529;25,275
"2015-07";29,201;25,842
"2015-08";26,788;26,436
"2015-09";26,648;27,06
"2015-10";27,407;27,676
"2015-11";26,184;28,286
"2015-12";32,296;28,919
"2016-01";26,288;29,5
"2016-02";27,946;30,029
"2016-03";30,555;30,508
"2016-04";32,259;30,882
"2016-05";31,343;31,123
"2016-06";34,429;31,248
"2016-07";30,795;31,271
"2016-08";31,71;31,235
"2016-09";30,972;31,152
"2016-10";32,369;30,982
"2016-11";31,343;30,715
"2016-12";35,58;30,395
"2017-01";25,483;30,087
"2017-02";25,205;29,804
"2017-03";28,463;29,58
"2017-04";27,377;29,362
"2017-05";30,529;29,231
"2017-06";32,397;29,075
"2017-07";29,972;28,936
"2017-08";30,516;28,852
"2017-09";26,879;28,86
"2017-10";29,445;28,962
"2017-11";27,392;29,113
"2017-12";34,47;29,231
"2018-01";24,84;29,347
"2018-02";24,562;29,42
"2018-03";28,409;29,435
"2018-04";29,445;29,432
"2018-05";32,33;29,379
"2018-06";28,905;29,303
"2018-07";34,791;29,195
"2018-08";31,138;29,073
"2018-09";28,41;28,848
"2018-10";26,886;28,638
"2018-11";25,506;28,508
"2018-12";32,07;28,481
"2019-01";27,1;28,482
"2019-02";22,251;28,518
"2019-03";26,277;28,599
"2019-04";30,183;28,765
"2019-05";30,809;28,901
"2019-06";28,021;29,097
"2019-07";31,796;29,344
"2019-08";32,063;29,583
"2019-09";29,387;29,837
"2019-10";31,785;29,978
"2019-11";29,86;30,065
"2019-12";41,046;30,105
"2020-01";27,018;30,11
"2020-02";24,309;30,097
"2020-03";28,748;30,17
"2020-04";30,293;30,276
"2020-05";31,558;30,462
"2020-06";34,305;30,709
"2020-07";31,231;30,951
"2020-08";31,621;31,194
"2020-09";29,664;31,489
"2020-10";30,631;31,783
"2020-11";32,531;31,974
"2020-12";36,53;32,072
"2021-01";27,654;32,094
"2021-02";30,058;32,073
"2021-03";38,204;31,974
"2021-04";29,637;31,82
"2021-05";32,384;31,698
"2021-06";31,844;31,653
"2021-07";31,334;31,644
"2021-08";31,114;31,656
"2021-09";30,191;31,643
"2021-10";29,597;31,65
"2021-11";29,02;31,636
"2021-12";39,877;31,63
"2022-01";29,653;31,558
"2022-02";28,06;31,406
"2022-03";34,794;31,215
"2022-04";31,152;30,953
"2022-05";31,688;30,583
"2022-06";30,425;30,077
"2022-07";30,653;29,499
"2022-08";28,18;28,809
"2022-09";27,449;28,004
"2022-10";25,339;27,159
"2022-11";24,304;26,224
"2022-12";32,646;25,337
"2023-01";21,949;24,518
"2023-02";22,27;23,753
"2023-03";24,488;23,003
"2023-04";21,223;22,337
"2023-05";23,47;21,741
"2023-06";21,767;21,454
"2023-07";21,007;21,289
"2023-08";19,625;21,22
"2023-09";19,856;21,211
"2023-10";22,681;21,219
"2023-11";20,206;21,177